Дата,Категорія,Сума
2023-01-01 00:00:00,Їжа,110.0796002
2023-02-01 00:00:00,Їжа,154.2367722
2023-03-01 00:00:00,Одяг,116.2601442
2023-04-01 00:00:00,Їжа,114.7097517
2023-05-01 00:00:00,Одяг,150.0673884
2023-06-01 00:00:00,Їжа,181.5419124
2023-07-01 00:00:00,Розваги,194.1659261
2023-08-01 00:00:00,Одяг,66.81938308
2023-09-01 00:00:00,Побут,190.6790201
2023-10-01 00:00:00,Побут,131.504193
2023-11-01 00:00:00,Одяг,71.12567094
2023-12-01 00:00:00,Транспорт,21.11824397
2023-01-02 00:00:00,Одяг,199.5251698
2023-02-02 00:00:00,Їжа,48.15105171
2023-03-02 00:00:00,Одяг,112.5314576
2023-04-02 00:00:00,Їжа,93.62993229
2023-05-02 00:00:00,Їжа,194.8836284
2023-06-02 00:00:00,Їжа,196.5744924
2023-07-02 00:00:00,Одяг,84.36542605
2023-08-02 00:00:00,Транспорт,16.67745265
2023-09-02 00:00:00,Розваги,85.76631314
2023-10-02 00:00:00,Одяг,15.44496666
2023-11-02 00:00:00,Транспорт,28.94786663
2023-12-02 00:00:00,Їжа,130.0082444
2023-01-03 00:00:00,Їжа,128.1585594
2023-02-03 00:00:00,Їжа,197.2764574
2023-03-03 00:00:00,Їжа,99.62475075
2023-04-03 00:00:00,Одяг,172.5907677
2023-05-03 00:00:00,Їжа,88.81958618
2023-06-03 00:00:00,Розваги,172.1313512
2023-07-03 00:00:00,Розваги,38.65970472
2023-08-03 00:00:00,Транспорт,82.51440878
2023-09-03 00:00:00,Їжа,47.24626646
2023-10-03 00:00:00,Побут,39.55295777
2023-11-03 00:00:00,Одяг,158.3512506
2023-12-03 00:00:00,Розваги,40.80395922
2023-01-04 00:00:00,Їжа,128.4574606
2023-02-04 00:00:00,Побут,162.3315589
2023-03-04 00:00:00,Розваги,148.5594355
2023-04-04 00:00:00,Транспорт,57.35292798
2023-05-04 00:00:00,Одяг,196.0918839
2023-06-04 00:00:00,Їжа,122.9537042
2023-07-04 00:00:00,Транспорт,26.66758855
2023-08-04 00:00:00,Одяг,80.54787854
2023-09-04 00:00:00,Їжа,100.6127709
2023-10-04 00:00:00,Їжа,179.8964308
2023-11-04 00:00:00,Їжа,141.6581185
2023-12-04 00:00:00,Їжа,156.1700971
2023-01-05 00:00:00,Побут,63.68243111
2023-02-05 00:00:00,Розваги,23.66406661
2023-03-05 00:00:00,Їжа,38.07863035
2023-04-05 00:00:00,Їжа,140.6993984
2023-05-05 00:00:00,Транспорт,181.4306404
2023-06-05 00:00:00,Розваги,110.2015171
2023-07-05 00:00:00,Розваги,180.2305634
2023-08-05 00:00:00,Їжа,46.66110062
2023-09-05 00:00:00,Побут,86.359535
2023-10-05 00:00:00,Їжа,64.15906721
2023-11-05 00:00:00,Їжа,100.5442174
2023-12-05 00:00:00,Транспорт,59.727437
2023-01-06 00:00:00,Транспорт,135.339817
2023-02-06 00:00:00,Одяг,49.12793884
2023-03-06 00:00:00,Транспорт,114.8457297
2023-04-06 00:00:00,Розваги,128.0958629
2023-05-06 00:00:00,Розваги,60.63560369
2023-06-06 00:00:00,Побут,110.5697695
2023-07-06 00:00:00,Транспорт,188.6334628
2023-08-06 00:00:00,Розваги,88.89265657
2023-09-06 00:00:00,Одяг,57.31137035
2023-10-06 00:00:00,Одяг,12.01440564
2023-11-06 00:00:00,Транспорт,178.6843716
2023-12-06 00:00:00,Одяг,30.03778122
2023-01-07 00:00:00,Їжа,95.55905915
2023-02-07 00:00:00,Розваги,55.81733062
2023-03-07 00:00:00,Розваги,21.78924414
2023-04-07 00:00:00,Побут,107.3830297
2023-05-07 00:00:00,Транспорт,165.7341899
2023-06-07 00:00:00,Побут,135.6359934
2023-07-07 00:00:00,Їжа,160.7095762
2023-08-07 00:00:00,Побут,40.89061925
2023-09-07 00:00:00,Розваги,104.1260689
2023-10-07 00:00:00,Їжа,70.08645219
2023-11-07 00:00:00,Одяг,16.66655408
2023-12-07 00:00:00,Одяг,182.0325943
2023-01-08 00:00:00,Одяг,187.5284968
2023-02-08 00:00:00,Одяг,96.71689712
2023-03-08 00:00:00,Їжа,133.418848
2023-04-08 00:00:00,Одяг,65.01279484
2023-05-08 00:00:00,Побут,64.74051569
2023-06-08 00:00:00,Їжа,106.9571444
2023-07-08 00:00:00,Їжа,194.1330261
2023-08-08 00:00:00,Побут,38.81769751
2023-09-08 00:00:00,Побут,74.38666846
2023-10-08 00:00:00,Побут,171.0882644
2023-11-08 00:00:00,Розваги,175.9175767
2023-12-08 00:00:00,Розваги,97.19294721
2023-01-09 00:00:00,Одяг,162.4461733
2023-02-09 00:00:00,Побут,12.9395379
2023-03-09 00:00:00,Одяг,58.08430836
2023-04-09 00:00:00,Розваги,181.5891698
2023-05-09 00:00:00,Їжа,28.08922676
2023-06-09 00:00:00,Транспорт,135.1562463
2023-07-09 00:00:00,Побут,73.54075127
2023-08-09 00:00:00,Розваги,72.97136138
2023-09-09 00:00:00,Їжа,49.88548598
2023-10-09 00:00:00,Одяг,133.964283
2023-11-09 00:00:00,Побут,114.2113964
2023-12-09 00:00:00,Побут,118.9108381
2023-01-10 00:00:00,Транспорт,162.0398798
2023-02-10 00:00:00,Розваги,162.8430665
2023-03-10 00:00:00,Побут,179.5054815
2023-04-10 00:00:00,Побут,198.894582
2023-05-10 00:00:00,Їжа,75.31738807
2023-06-10 00:00:00,Побут,198.2595296
2023-07-10 00:00:00,Побут,29.11651014
2023-08-10 00:00:00,Їжа,37.62834031
2023-09-10 00:00:00,Побут,55.69855342
2023-10-10 00:00:00,Розваги,191.4544589
2023-11-10 00:00:00,Їжа,159.1483919
2023-12-10 00:00:00,Розваги,173.0524417
2023-01-11 00:00:00,Їжа,149.2697204
2023-02-11 00:00:00,Їжа,130.8786568
2023-03-11 00:00:00,Їжа,70.4889273
2023-04-11 00:00:00,Побут,68.38317789
2023-05-11 00:00:00,Побут,72.22154872
2023-06-11 00:00:00,Транспорт,191.8162344
2023-07-11 00:00:00,Побут,100.3773173
2023-08-11 00:00:00,Одяг,104.2090641
2023-09-11 00:00:00,Побут,199.8412955
2023-10-11 00:00:00,Транспорт,32.34029853
2023-11-11 00:00:00,Побут,161.4158675
2023-12-11 00:00:00,Одяг,66.91467929
2023-01-12 00:00:00,Транспорт,88.87975231
2023-02-12 00:00:00,Одяг,145.6607286
2023-03-12 00:00:00,Одяг,95.71559253
2023-04-12 00:00:00,Одяг,120.671455
2023-05-12 00:00:00,Транспорт,36.63938077
2023-06-12 00:00:00,Розваги,27.50825824
2023-07-12 00:00:00,Одяг,12.61805037
2023-08-12 00:00:00,Одяг,46.30449843
2023-09-12 00:00:00,Транспорт,70.05726686
2023-10-12 00:00:00,Розваги,13.7638131
2023-11-12 00:00:00,Транспорт,46.31655244
2023-12-12 00:00:00,Одяг,72.04200577
2024-01-01 00:00:00,Побут,157.8688574
2024-02-01 00:00:00,Розваги,48.96970065
2024-03-01 00:00:00,Розваги,89.65777341
2024-04-01 00:00:00,Одяг,154.6882038
2024-05-01 00:00:00,Побут,132.6357212
2024-06-01 00:00:00,Їжа,156.5921713
2024-07-01 00:00:00,Побут,55.48083853
2024-08-01 00:00:00,Одяг,151.2378133
2024-09-01 00:00:00,Одяг,120.1501109
2024-10-01 00:00:00,Побут,181.2878781
2024-11-01 00:00:00,Транспорт,87.20014006
2024-12-01 00:00:00,Одяг,35.31902644
2024-01-02 00:00:00,Розваги,125.2168682
2024-02-02 00:00:00,Їжа,152.7101943
2024-03-02 00:00:00,Їжа,45.35710853
2024-04-02 00:00:00,Розваги,24.24635524
2024-05-02 00:00:00,Транспорт,146.3858455
2024-06-02 00:00:00,Одяг,77.05946916
2024-07-02 00:00:00,Побут,45.58926588
2024-08-02 00:00:00,Їжа,177.2960946
2024-09-02 00:00:00,Розваги,99.64893016
2024-10-02 00:00:00,Побут,196.8072527
2024-11-02 00:00:00,Їжа,82.30065744
2024-12-02 00:00:00,Їжа,70.46362977
2024-01-03 00:00:00,Транспорт,126.0336693
2024-02-03 00:00:00,Одяг,158.4556193
2024-03-03 00:00:00,Побут,19.452575
2024-04-03 00:00:00,Транспорт,138.4564191
2024-05-03 00:00:00,Одяг,102.0121751
2024-06-03 00:00:00,Одяг,112.2146839
2024-07-03 00:00:00,Їжа,138.9760049
2024-08-03 00:00:00,Одяг,79.27040097
2024-09-03 00:00:00,Одяг,15.67433972
2024-10-03 00:00:00,Одяг,184.6202736
2024-11-03 00:00:00,Транспорт,162.2013538
2024-12-03 00:00:00,Побут,92.71734432
2024-01-04 00:00:00,Транспорт,52.31906535
2024-02-04 00:00:00,Їжа,79.43320431
2024-03-04 00:00:00,Одяг,152.5200401
2024-04-04 00:00:00,Транспорт,40.21763904
2024-05-04 00:00:00,Одяг,43.07990091
2024-06-04 00:00:00,Їжа,126.2280369
2024-07-04 00:00:00,Їжа,130.5169868
2024-08-04 00:00:00,Їжа,77.71630862
2024-09-04 00:00:00,Транспорт,137.2901876
2024-10-04 00:00:00,Побут,25.43801002
2024-11-04 00:00:00,Розваги,130.3053982
2024-12-04 00:00:00,Їжа,179.1708038
2024-01-05 00:00:00,Транспорт,123.0824661
2024-02-05 00:00:00,Їжа,168.3866919
2024-03-05 00:00:00,Одяг,85.52460142
2024-04-05 00:00:00,Їжа,94.19160136
2024-05-05 00:00:00,Побут,46.76590916
2024-06-05 00:00:00,Транспорт,173.0476201
2024-07-05 00:00:00,Побут,184.1406356
2024-08-05 00:00:00,Транспорт,156.1119578
2024-09-05 00:00:00,Побут,53.98621088
2024-10-05 00:00:00,Одяг,80.76177999
2024-11-05 00:00:00,Розваги,181.0447927
2024-12-05 00:00:00,Їжа,10.3764732
2024-01-06 00:00:00,Побут,75.77682636
2024-02-06 00:00:00,Побут,186.8532468
2024-03-06 00:00:00,Одяг,111.124463
2024-04-06 00:00:00,Транспорт,60.44359914
2024-05-06 00:00:00,Їжа,77.4191933
2024-06-06 00:00:00,Одяг,140.799329
2024-07-06 00:00:00,Їжа,100.8411979
2024-08-06 00:00:00,Транспорт,88.73423206
2024-09-06 00:00:00,Одяг,186.9219235
2024-10-06 00:00:00,Транспорт,65.77951806
2024-11-06 00:00:00,Побут,92.35229926
2024-12-06 00:00:00,Одяг,20.18514233
2024-01-07 00:00:00,Їжа,195.4690191
2024-02-07 00:00:00,Одяг,186.5389666
2024-03-07 00:00:00,Транспорт,181.2643841
2024-04-07 00:00:00,Одяг,36.29354576
2024-05-07 00:00:00,Побут,172.03978
2024-06-07 00:00:00,Їжа,20.81872671
2024-07-07 00:00:00,Транспорт,162.8360409
2024-08-07 00:00:00,Розваги,194.7257675
2024-09-07 00:00:00,Одяг,117.6753308
2024-10-07 00:00:00,Побут,36.25506961
2024-11-07 00:00:00,Їжа,48.17696956
2024-12-07 00:00:00,Побут,154.8109436
2024-01-08 00:00:00,Одяг,65.09685732
2024-02-08 00:00:00,Побут,196.3427207
2024-03-08 00:00:00,Одяг,96.16023733
